;text;cluster;score
943;ulang tidak tetep temu nomer kartu guna data coba atm ala aktivasi;3;1
944;update uang tindak tanggap sekali saldo rb pulsa potong pasu pagi otp notif mohon mobile masuk keluh kali jadi guna error cek bukan bsb beli beberapa;3;1
945;susah mau login benah aplikasi aja;0;1
946;eror;3;2
947;susah login;3;5
948;user uang tiba terus paksa pakek nya nasabah minta mbanking mana male login keluh kalo kali ini gak dah buruk buka buat buang bsb blokir bank baca aplikasi aktivasi;3;1
949;sangat baik;2;5
950;ujung transaksi terus tambah selalu sdah ribet ny mudah malah lancar klu jdi dlu blokir aktifasi;3;2
951;tahun beberapa;3;1
952;ulas ulang udah tidak semua sekarang potong pernah padahal niat minta memang masalah malah kan kali ini gin bulan bikin biaya banyak bank baca aplikasi aku aktifasi aja;0;1
953;tolak terus ini aplikasi aktivasi;0;1
954;uang tunggu tunai tpi suruh sulit selalu rekening masuk layan kerja jelek hari gak bukan blokir bank apa aktivasi;3;1
955;tetap tapi saldo pulsa mohon masuk mana lewat kurang kecewa hari coba beli baik bagai;3;1
956;ulang minta malah eh blokir aktivasi;3;1
957;sudah salah pdahal login kode kirim jg hp blokir aktivasi;3;1
958;pindah mulu materai make lama ini blokir bank banget aplikasi;3;1
959;mbanking goblok aplikasi;0;1
960;tolong tingkat suka sering segera mbanking mau masalah malah jaring hari error cepat baik atm;3;1
961;sudah sekarang ribet mohon hapus bikin baru bantu apknya aku;3;1
962;makasih layan atas;3;5
963;suruh mbanking masa kayak jelek gak aplikasi aktivasi;0;1
964;sering error;3;2
965;lancar dannyaman aman;3;5
966;tim tidak temu tapi sudah mudah minta masalah laku lah kok kali jaring itnya install data dah bukan bikin benah banking bank banget aplikasi aneh aktivasi;3;1
967;udah tampil sudah soal sendiri selalu repot mandiri liat lewat kalau hp dlu cuma buka bsb blokir bintang aplikasi akun aktivasi aktif;0;2
968;yang tuh simpel ribet mudah mbanking jelek jelas guna gak contoh coba buat bni aplikasi;0;1
969;telpon sumsel sendiri selalu punya pegawai padahal orang mungkin mbanking laku kurang kalo kalian hati centernya call buka banyak aman;3;1
970;suruh sedia mau malah log eh biar bagus apknya aktifasi;3;2
971;untk ulang transaksi tapi sedia sangat repot perlu mohon mobile krna kesal jdi jd guna eror dn dekat bsb bantu bank baik aktivasi;3;1
972;untuk tidak sumsel perlu online offline nasabah mbanking jdi buka bank;3;3
973;sering rugi rekening rasa pulsa masuk kurang kali jadi isi error bagaimana;3;1
974;ulang ubah tingkat sistem rating periksa paksa mohon mau masuk malah makin maju login kembang jadi gmna bukan blokir baik baca aplikasi aktivasi;3;2
975;terus saldo pulsa nama mobile kurang kecewa isi gagal bsb;3;1
976;sangat login id guna gak buruk;3;1
977;jelek ini aplikasi;0;1
978;ganggu;3;2
979;udah top tidak saldo potong padahal masuk gopay;3;3
980;transaksi selalu sekian saldo makin lama kembali kali gagal debit buruk;3;1
981;waktu sama paling nya kasih buang bintang benah banyak ala aktivasi;3;1
982;sering ribet minta malah diaktivasi bikin bank aplikasi aktivasi;3;1
983;yang waktu transfer transaksi terus tabung susah sangat rasa pakai pagi nunggu ngantri mbanking mau masuk masa malam makan laku kalau jadi hari guna cek buku bank bagaimana aneh aman ala;3;1
984;token pln beli;3;2
985;yang registrasi punya online mungkin kayak donk coba buat belah bank aktivasi;3;1
986;aktivasi;3;1
987;sandi salah nama min lupa kalo jadi gimana gara cara blokir akun;3;3
988;perlu maaf kasih bintang banyak baik aplikasi;0;2
989;versi upgrade ubah tak sering saldo pulsa mohon masuk lebih kurang isi error contoh baik;2;3
990;ulang udah tidak padahal masalah bulan aktivasi;3;2
991;transaksi sering salah parah otp mau mana langsung dipake blokir;3;1
992;transfer tidak tau salah pakai msh male kalo gaji download bukan buat bolak benar bank balik;3;1
993;terus sekali nian nak mesti aktivitas aktivasi;3;1
994;transaksi tidak tiba susah sedia pagi notif nasabah mau logout login lagi kirim kasih kalo kait jgn ini hari gak email donk dari buat bsb banget baik aplikasi apa aktivasi;3;1
995;payah bank;3;1
996;transaksi sulit saldo pulsa potong ngisi gagal;3;1
997;selalu satu sama ribet padahal mintak minggu kendala kayak bikin baru baik aktivasi aja;3;1
998;kok blokir aplikasi;0;1
999;mobile lanjut hampir bulan buat banking bank aktivasi;3;1
1000;minta aktivasi;3;1
1001;yang sedia nian minta memang dak aplikasi aktivasi;0;1
1002;user ulang tulis tuju transaksi tpi suruh sudah sm sistem ribet perangkat padahal nmr nali mudah mbanking mau masuk malah kode kalau buat blokir baik aktivasi;3;1
1003;mutu mantap langsung blokir aplikasi aktivasi;0;1
1004;yang ulang tidak sudah ribet mintak malah lewat lbh langsung lagi hr dikit baru bantu bank banget baik aplikasi aktivasi aja;3;1
1005;ulang selalu pa minta mau jadi gimana gagal buka baik aplikasi aktivasi aja;3;1
1006;yang tau mesti malah hp ganti gak beda bank aplikasi aktivasi;3;1
1007;yang waktu loading lama butuh buka bsb banyak aplikasi;0;1
1008;tolong sedia punya mau malah kok bukan aktivasi;3;1
1009;terus padahal hp bolak banget balik atm aktivasi aktif;3;1
1010;terimakasih sumsel sistem rasa pihak nya nasabah mau layan kecewa gak buka banking bank baik;3;1
1011;yang selalu sama pakai padahal nomer minta mau materai kalau bank aktivasi;3;1
1012;ulang tiba tambah suruh sedia parah kata aktivasi;3;1
1013;yang ulas ulang udah terus selalu sedia salah pikir nyata ny masalah malah liat kenapa ini guna gua dri buka bingung bank bagus aplikasi aktivasi;0;2
1014;logout kacau bolak balik aplikasi;0;1
1015;yang sangat rb pulsa paling mentok mau kecewa cuma biasa beli;3;1
1016;mau masuk kok gak benar apa aja;3;1
1017;yang update ubah tapi sering banyak banget;3;1
1018;slalu sangat otp minta masuk malah langsung kode jadi gilir gara blokir aneh aktivasi aktipasi;3;1
1019;baik aktivasinya;2;1
1020;tolol tidak niat kalau hapus aplikasi aja;0;1
1021;tidak terus mau malah login jelas gilir gagal dulu dasar cacat aplikasi aktivasi aja;3;1
1022;app;3;5
1023;uang terus otomatis mintak materai kali kalau habis gin blokir beli aplikasi aktivasi;3;1
1024;ulang ujung suruh sudah sampah malah bank aplikasi apa aktivasi;3;1
1025;parah;3;1
1026;login gak;3;5
1027;ulang parah nasabah melulu mbanking layan kata error aktivasi;3;1
1028;ulang mulu kok gagal aneh aktivasi;3;1
1029;ulang suruh mau malah login bagaimana aktivasi;3;3
1030;sedia notif muncul minta mau login gilir aktivasi;3;1
1031;yang terus rugi rating pakai mau materai layan jelek guna gimana error dong coba buat biaya besar benar bayar bank baik aplikasi;0;1
1032;selalu sedikit panjang ngurus mana lah jangan gagal bank antri aktivasi;3;2
1033;registrasi mobile masuk daftar banking atm app;3;1
1034;ulang suruh punya minta mbanking malah lalu kalau datang center call bank aplikasi aktivasi;0;1
1035;aplikasi;0;1
1036;ulang aktivasi;3;1
1037;ulang sampah mnta aplikasi aktivasi;0;1
1038;tidak sm saing mulu mbanking ko hadeh gin eror belah aplikasi aktivasi;0;1
1039;ulang udah terus sih sangat ribet pake minta materai masalah mana langsung lama lalu kalo hari gin dikit deh baru bank bagus apa ampun aktivasi;3;1
1040;puas;3;5
1041;terus sangat perhati minta lot lah coba aplikasi aktivasi;0;1
1042;sekali lot jelek aplikasi;0;1
1043;sering login erorr baik aplikasi aktivasi;0;3
1044;update selalu;3;4
1045;transaksi teblokir mulai minta kesel baru;3;2
1046;urus tpi temu tdak tau tagih sering sedia sdah pihak pdahal mau mandiri mahal kredit keluh kata jga jawab gaji bsb bayar bawah bank aktivasi;3;1
1047;susah otp layan dikit blokir apa aktivasi;3;1
1048;update tidak jelek bsa;3;1
1049;suruh mau login gak aplikasi aktivasi;3;1
1050;sedia mintak mau malah login layan diaktivasi aktivasi;3;2
1051;ulang tolong tiap terlalu susah masalah kudu kata kalo jauh jaring hilang guna ganti developer coba aplikasi apa aktivasi;3;2
1052;yang terus ny mudah minta lelet kayak jelek bug belah banyak bank aktivasi;3;1
1053;untung ulas ujung sulit punya pakai otpnya orang mudah mesti mau malah lebih langsung lagi kode kasih kalau gimana erorr eror dari bukan bintang benah banyak bank baik aplikasi aktivasi;3;1
1054;yaa sekali buruk;3;1
1055;uninstal ulang tiba sudah solusi sedia sama mohon minta min masa makin layan lama aktivasi;3;1
1056;tidak susah suruh saran mulu mau login kalo jangan fungsi dah aktivasi aja;3;1
1057;udah sering hari eh deh dana daerah bata baru bank aplikasi ampun akun;3;1
1058;tinggal terus sekali sedia repot payah pasang pakai minta mau malah luar kartu jauh jadi gak buka aktipasi aktifasi;3;1
1059;transaksi tambah susah sinyal sering salah padahal lot jelek jadi beda bank bagus aplikasi;0;2
1060;tu transfer terlalu sumsel sama malah kena gratis era digital contoh biaya belah banyak bank aja admin;3;1
1061;top;3;5
1062;tingkat sering sedia mohon laku kendala kali jadi bantu atas alami aktivasi;3;1
1063;ulang udah terang suruh soal ribet mau jadi gimna gilir diaktivasi banget aktivasi;3;1
1064;ulang ribet prose pa malah akun aktivasi;3;1
1065;mantap;1;5
1066;lancar;3;5
1067;paling gampang enak;3;5
1068;transfer tambah kan;3;5
1069;ulang selalu sangat perhati pakai nasabah manual keluh kecewa belah beda bank aplikasi apa aktivasi;3;1
1070;produk gagal;3;1
1071;nak malah lelet dlu cepat baru aplikasi aktivasi ajar;0;1
1072;sering ribet mulu mesti kalo error bank aplikasi;0;1
1073;susah sangat login kecewa aplikasi;0;1
1074;ulang tinggal terus suruh sm ribet mbanking jg jauh fitur dikit bank aktivasi;3;1
1075;transfer tidak tiap sering selalu sedia paksa pake nak materai make lanjut lagi krna kerja keluar kata kantor jd harus gara gaji dlu dak buka blokir bank aplikasi aktivitas;3;1
1076;yang waktu urus transfer tidak suruh sinyal sering selalu sedia saldo ribet pulsa potong minta mau malah kartu kapan kalo isi internet hp ganti dri bintang biaya balik bakal aktivasi;3;1
1077;transaksi sih ilang ikut gimana gagal duit;3;1
1078;yang waktu ulang terus sumsel sudah silah sedia perintah muncul mau masuk id daftar bank babel aktivasi;3;2
1079;ulang suruh sedia mau masuk masa data bolak bank balik aktivasi;3;1
1080;jelas ganggu gak bank aplikasi;0;1
1081;ulang tutup terus sumsel solusi pakai materai masalah lupa kemudian jangan dekat datang daftar csnya bilang biasa baru bank babel apa akun aktivasi ada;3;5
1082;ulang udah suruh padahal masak jelas gimana daftar aktivasi;3;2
1083;ulang sulit sekali sangat mohon minta laku guna baik aplikasi aktivasi;0;1
1084;yang urus ulang tunai tuju tidak terus temu tagih sy suruh semua sedia rek pindah pdhl pake nunggu nmr nih mau masuk langsung lagi krn kerja kartu jg jd jam hari hambat gimana eror data dana buat bolak bayar balik aktivasi akhir;3;2
1085;aktivasi;3;1
1086;tidak ribet mau dulu aplikasi apa aktivasi;0;1
1087;ulang tahu sudah sm sering sedia lagi jg instal ikut bagaimana aplikasi aktivasi;3;2
1088;ulang selalu parah malu login gagal banyak aktivasi;3;1
1089;update tiba temu sumsel simcard padahal login kemaren gabisa babel aplikasi apa aktivitas;3;2
1090;log bug baik aplikasi;2;1
1091;tingkat terus terlalu tau simpel salah ribet pin mudah bsb blokir aplikasi akhir;0;1
1092;pacak mudah lebih jadi bsb;3;5
1093;login kok ingat gimana gak;3;1
1094;temu sudah payah padahal nasabah login benar;3;1
1095;wifi tiap pake mau lot login kalau;3;4
1096;gabisa;3;1
1097;ulang terus padahal aku aktivitas;3;1
1098;ulang transaksi terima segera sedia perlu mohon minta kata kasih kan banking banget aktivasi;3;1
1099;urus udah tuh transfer status sekian saldo rugi rb qris potong ngurus nasabah mau male malam lama kesel kan kalo kali kalau jgn jadi harus gak gagal cuma buat bikin bayar bawah bank aplikasi;3;1
1100;ulang suruh sering sangat mobile login layan kecewa eror buruk benar banking aktivasi;3;1
1101;tidak tiba sangat salah pin pernah padahal masuk kecewa kalau blokir aplikasi;3;1
1102;update udah tingkat tidak tapi sudah sim server sama perlu pakai otp ny mungkin moga lot kartu kalau kadang jd internet hp hapus depan blm belum aplikasi;0;3
1103;uang transaksi terima tapi sistem saldo pdahal pa lihat kurang kali gimana ganggu atm alami;3;1
1104;top saldo pulsa payah kurang gagal;3;1
1105;yang transfer tingkat tinggal tidak sudah sama rekening registrasi perban otomatis nomor mau masak lagi jauh gilir dulu daftar cek bsa blm aplikasi;3;1
1106;pake padahal kesel jaring capek buat bagus aplikasi;0;1
1107;transfer temu rekening mau lot eror bank aplikasi;0;1
1108;transfer online baik;2;2
1109;transfer mantap mahal;1;4
1110;tidak sinyal masuk kok jaring banyak baik ala admin;3;1
1111;sedia ribet rek nomor malah gilir bener aplikasi aktivasi;3;1
1112;yang susah sangat guna aplikasi;0;2
1113;waktu ulang punya payah mana malah kantor gak cabang apps apa aktivasi;3;1
1114;signal login kan dpt dak bagus;3;1
1115;udah terus pakai padahal orang masalah kata hp gimana ganggu cuma cara buat beda akun aku aja;3;1
1116;mantap;1;5
1117;;3;
1118;ulang terus suruh sering kantor jauh banget aktivasi;3;3
1119;udah terus sih gimana eror daftar;3;1
1120;yang bintang;3;5
1121;tidak kok download;3;3
1122;yang udah transaksi tiap tagih sangat riwayat pake pakai muncul mulu masukin masa manual malah lewat kok kode kek kait jelas jd gitu gak dasar cuma bulan buat bayar banyak banking banget aplikasi aja;3;1
1123;puas mohon konsumen jaring error baik;2;5
1124;susah sekali kode ambil;3;2
1125;ulang sangat registrasi perintah paksa online masuk lebih lalu kalau jangan guna gilir dulu diaktivasi daftar blokir bank banget baik aplikasi apknya akun;3;1
1126;suruh sudah sinyal sering msh login jaring internet ganggu eror bug bnyak bagus aktivasi;3;1
1127;terus hasil gak aplikasi aktivasi;0;1
1128;yang utama upgrade sudah sistem sering sekali rasa pegawai pake ngurus msh mobile male maksimal layan lagi kurang kalau hubung gaji dong daerah blm banking bank;3;1
1129;sangat bantu;1;5
1130;update tiap mau masalah login jaring baru;3;4
1131;transaksi nak langsung cuman blokir aplikasi akun;0;1
1132;udah tpi tidak temu pdahal nasabah mau masuk malah kesel kesal daftar bikin baik aplikasi;3;1
1133;token listrik lengkap lebih jadi beli bayar aplikasi;0;5
1134;tunggu sangat lama dikit buruk buka blokir aplikasi;0;1
1135;yang uang pulsa potong ngak mau masuk kali jadi hati;3;1
1136;;3;
1137;jelek banget;3;1
1138;;3;
1139;aplikasi;0;1
1140;transfer terimakasih sumsel selalu saldo mudah lancar lain internet depan banking bank alhamdulillah ada;3;5
1141;udah terlalu sinyal segala ribet pake otp ganggu aja;3;1
1142;udah tidak tetep sinyal buka bagus;3;1
1143;sinyal muda bukan;3;1
1144;susah sekarang sekali perhati pakai dulu bsb;3;1
1145;sulit sama padahal mau login kerja kendala jgn jelas jaring bagus;3;2
1146;sangat buruk aplikasi;0;1
1147;mohon kena baik akun;2;1
1148;tapi perintah minim kelas kecewa fitur bank;3;1
1149;selalu sekali online login lh lgi kadang eror baik apa;3;4
1150;maksimal;3;4
1151;buruk;3;3
1152;sinyal padahal koneksi gak cek bagus aja;3;1
1153;update tingkat padahal minta minggu mau jam dong diupdate ber baru aja admin;3;2
1154;eror aplikasi;0;1
1155;update aktivasi;3;1
1156;transfer terimakasih mahal lebih biaya bank aktif;3;3
1157;mantap;1;5
1158;sering kualitas jaring ganggu;3;1
1159;jelek erorr banget aplikasi;0;1
1160;update sesuai jgn dengan dak bug banyak baik aplikasi;0;1
1161;transaksi sudah sering selalu sedang saldo masuk layan kurang kali gak alami;3;2
1162;ribet malah bukan bsb bikin bantu aplikasi;0;1
1163;makin lebih belum baik;2;5
1164;mantap;1;5
1165;tuju tidak tetap terlalu tengah saldo ribet rb pulsa online nomor masuk klu kasih gagal cukup bintang benar beli aplikasi;3;1
1166;terus sinyal kok force bagus;3;1
1167;yang sinyal malah ko kata buka bsb apa;3;2
1168;tempat selalu padahal masalah jaring eror bagus aplikasi;0;1
1169;pdhl masalah lancar koneksi jaring cek bagus aja;3;1
1170;tingkat sinyal masa kelas eror dong bug besar benah bank;3;2
1171;terus sulit mau jaring gimana eror daftar aplikasi;3;1
1172;eror;3;1
1173;signal lah kalau deh bank;3;1
1174;lot;3;1
1175;selalu masalah aplikasi;0;1
1176;mudah guna;1;4
1177;wifi ulang tulis sinyal silah sendiri segera sedia rata pake padahal nasabah mau masalah login koneksi kalau jauh jaring internet cukup coba cepat cek blokir bank baik atas akun aktivasi;3;1
1178;terus blokir;3;1
1179;update tunggu buka bug baru banking aplikasi;0;1
1180;yang transfer tidak tiba sya sih sering salah pa masuk malah lgi ko kenapa kecewa id error blokir akun;3;1
1181;terus error aplikasi;0;1
1182;selalu pa mau login keluar balik baik aplikasi aktivasi;0;1
1183;sendiri saldo otp lagi kirim hilang eror bsb aplikasi;0;1
1184;tidak sedia otp otomatis muda langsung kolom kalau jg jauh jangan hp blokir beberapa bank baca akun;3;2
1185;ulang tidak sudah mau maju layan komentar kerja kalau jgn instal gimana donk daerah cuma bi bank baik baca aplikasi ak aja;0;1
1186;tidak ribet potong pihak nih jadi error duit bank aplikasi ala;0;1
1187;sendiri sekarang mulu mobile keluar buka bsb banking baik;3;2
1188;susah sering lot login lh eror aplikasi;0;1
1189;tanya tabung mau;3;4
1190;yang tidak terus terang pihak muncul minggu hampir buka bsb biso baik aplikasi aku;0;2
1191;transfer tidak doang cuma cek bug banyak aplikasi;0;1
1192;tingkat aplikasi;0;5
1193;ulang sering segera krna gak force bug awal aplikasi aktivasi;0;1
1194;sendiri selalu keluar gak buka appnya;3;1
1195;sangat registrasi otpnya kolom kode buruk baik;2;1
1196;tidak tiba tiap selalu minggu log keluar aplikasi;3;1
1197;update ngga malah login habis aplikasi;0;1
1198;yang versi update tingkat sih pakai masa malah lgi gimana dong buka bawah android;3;1
1199;sampah aplikasi;0;1
1200;terus sinyal sih mau lot lancar kok gagal bener bagus aplikasi apa;0;1
1201;update samsung mohon guna baru aplikasi;0;3
1202;sangat mudah;1;1
1203;wifi sinyal sering selalu produk paksa kasih jadi guna ganggu error bintang bilang ala;3;1
1204;sering eror aplikasi;0;1
1205;untuk transaksi terima sumselbabel sumsel sekali sangat mudah mbanking kasih bantu bank;1;5
1206;nya blokir aplikasi aneh;0;1
1207;swasta segera maju dong bug bsb biar bank aplikasi;0;2
1208;ini hari;3;4
1209;alhamdulillah;3;5
1210;kasih gak buka bug bintang;3;5
1211;yang sy sangat rata pernah pdhl pasu paling nasabah jauh harap buruk banking bank atas aplikasi;3;1
1212;update selalu login henti aplikasi;0;1
1213;tidak masuk log;3;1
1214;ulang udah sdah padahal otp masuk kode hampir bulan;3;3
1215;transper tlong saldo kurang gagal baik;3;1
1216;pakai;3;4
1217;yang ulang terang sudah selalu sama mandiri hasil dengan coba aktivasi;3;1
1218;minggu buka aplikasi;0;1
1219;update susah mau;3;4
1220;terimakasih tahu sumsel sekali sama nasabah layan jadi coba bsb beri baik apa aktivasi;3;2
1221;transfer repot lama jangan cepat bos bank baik atm;3;5
1222;sumsel sekali percaya nasabah log kecewa kayak kalau instal habis bos bank;3;1
1223;best bank;3;5
1224;udah sekali segala saat ribet pakai mudah mbanking krn kalau hp guna gin gak fungsi emang butuh baru bank banget ak;3;1
1225;aktivasi;3;1
1226;sya hp buka;3;1
1227;ulang terus solusi sedang ngak nak mau masuk loading kalau instal gimana baru aplikasi;3;1
1228;terus gimana bug;3;1
1229;terus sekarang gx gak buka;3;1
1230;ujung transfer tetep sering saldo ribet pulsa nya masuk malah lalu kurang kek kan kalo jadi isi hr gin gak bikin bank app;3;2
1231;malah kok gimana enggak buka baru aplikasi;0;1
1232;urus ulang tapi padahal otp kode dpt bank aktivasi;3;1
1233;update segera masalah kembang kalo baik aplikasi apknya;0;1
1234;transaksi sangat praktis lalu bantu;1;5
1235;mantab;3;5
1236;sering lot error baik;2;1
1237;tulis sm masuk gak aktivasi;3;1
1238;parah login gak bug;3;2
1239;ulang tapi muncul kode gak aktivasi;3;1
1240;ulang kecewa instal gak buka bug aplikasi ada;0;1
1241;yang usah urus tunai tidak tiba tarik sukses sering selalu satu ribet pay padahal org online masalah mana lapor kurang kerja kecewa kalau jadi hp hati ganti gak download dana cuma bulan bukan blokir bintang benar banyak banking bangking baik aja;3;5
1242;tolong baik;2;1
1243;mohon minta mbanking masalah langsung kali buka bug baru bantu;3;2
1244;update mohon guna bug baru baik;2;4
1245;tempat listrik dong depan buat bayar admin;3;5
1246;ulang tetep solusi sampe sama padahal ngak memang masalah malah kali kalau install csnya coba bilang beberapa bahkan aplikasi android aktivasi aja;3;1
1247;bug banyak;3;1
1248;tidak terus rekening pernah mulu malah jadi hp gagal force cek belum baharu aplikasi;3;1
1249;upgrade aplikasi android;0;2
1250;uang tingkat sangat pa mau masuk lagi kualitas kasih kan kalau dong cek bintang baru bantu baik akun;3;2
1251;padahal masuk masalah lancar koneksi jaring;3;1
1252;sangat bantu;1;5
1253;ny ngga buka bug aplikasi;0;2
1254;tidak kali dong coba bsa aktivasi;3;1
1255;uninstal sendiri masuk keluar bsb aplikasi apa;0;1
1256;ulang aktivasi;3;1
1257;segera buka bug baik aplikasi;2;2
1258;yang transfer tahun swasta sedia sama pilih kalah jgn fast bi baru bank;3;3
1259;update ulang muncul laku kode guna baru aplikasi aktivasi;0;2
1260;yang uninstal ulang tingkat tetap padahal otp masuk lgi kode instal daftar aktivasi;3;1
1261;sering error;3;1
1262;salah registrasi pa online nomor min mau masuk krn jadi ganti gak daftar;3;1
1263;update mohon layan hp android aktivasi;3;5
1264;sm prose mentok kirim aktivasi;3;1
1265;yang ulang tau solusi gak aktivasi;3;5
1266;uang qris potong pakek nih mobile masuk mana kali cacat bsb bayar aplikasi;3;1
1267;mantap;1;4
1268;ulang sulit selalu kantor cabang aplikasi aktivasi;0;1
1269;udah tutup tunggu tidak tanya sih sering selalu sekali saing respon paling padahal mobile memang mau malah mahal layan kata kasih kantor kalau jam gratis email center buruk biaya banking bank baik apa antri aktivasi;3;1
1270;top tanggung saldo padahal minggu masuk lapor kurang jawab guna gagal bsb blum bank aplikasi apa;0;1
1271;;3;
1272;yang tidak tiap sih malam luar login lambat kok jam fitur atas;3;1
1273;ujung tpi terus sering sendiri sama ny mudah lambat kembang keluar gak eror developer bukan biar atm aplikasi apknya aja;3;1
1274;perban buruk aplikasi;0;1
1275;sampe ribet pagi malah ikut hp hati ganti eh dari center buat buang aplikasi aktivasinya aja;0;1
1276;transfer kali gara appnya;3;1
1277;ny mau kurang bingung banyak apa aku;3;1
1278;tempat sm pakai kode hp ganti gak dari aplikasi aktivasi;0;2
1279;tpi tlong terus sering respon otp lebih kurang gagal erorr cepat baik aplikasi aktivasi;3;1
1280;tiba terus padahal pa malah hapus gak download diaktivasi blokir aplikasi apa akun;0;1
1281;rekening padahal nomor kartu buka bener aktivasi;3;3
1282;usah tidak tetap sudah pdhl parah pake otpnya mending masuk kode hari guna download dah buruk blokir bener baru banget ala aja;3;1
1283;samsung pa hp coba aktivasi;3;3
1284;tpi tidak sya sudah sm semua sampe padahal mau masuk hapus gak dlu data bug bintang beri atas aktivasi;3;1
1285;susah sangat maupun mau komplain kantor email buruk baik aja;3;1
1286;tpi tidak tempat sm mulu mau masuk masa kemaren gagal dong cuma buat baik aplikasi aktivasi aja;0;1
1287;masuk bsb akun;3;2
1288;suka;3;5
1289;voucher transaksi selalu pulsa payah paling padahal mbanking masuk eror debet;3;1
1290;suruh periksa mulu jaring buka benerin banking bank aplikasi aman aja;0;1
1291;panjang erorr;3;1
1292;ulang tanggung masuk kok jawab gimana gak cara bangking aplikasi apa aktivasi;3;1
1293;tiba temu sama pesan pertama percaya padahal nya nasabah mbanking masalah login lalu kali jadi guna bsb beberapa aplikasi;0;1
1294;transaksi terus sekali sangat perhati otp nyaman nasabah mulai moga lihat lengkap lebih lama laku lagi kembang guna fiturnya depan bsb baik aplikasi aman;0;5
1295;uang transfer saldo online luar lot kurang kerja jam gagal cukup banyak bank aplikasi;0;1
1296;sangat bantu;1;5
1297;tambah pulsa pln fitur beli;3;3
1298;yang ulang sudah sim padahal otpnya otomatis mbanking maaf laku kartu isi guna belum aplikasi aktivasi;3;2
1299;sumsel sama saldo pulsa potong pakai ngisi mobile minggu masuk lapor kata kali hari coba beli banking bank;3;1
1300;transfer sangat pagi mau loading buka aplikasi;0;1
1301;uda transfer tidak saldo pay minim minggu menu masuk hari go gagal bri aja;3;1
1302;skrg saldo pulsa masuk kurang isi enggak;3;2
1303;susah sama ribet pa nyata nasabah masalah login download cek baru;3;1
1304;lot;3;1
1305;yang pulsa nomor ngak malah kirim hilang gopay dana barusan;3;5
1306;mantap;1;5
1307;lh bgus;3;5
1308;jelek;3;1
1309;pakai padahal minta lot login kode jaring hilang baru baik akun aktivasi;3;1
1310;siap layan konsumen kalau jangan bikin aplikasi;0;1
1311;udah tiap sedia mulu mau login bulan aktivasi;3;2
1312;mungkin lebih guna bayar;3;5
1313;good;1;5
1314;terang paket jumlah data beli;3;2
1315;transfer tidak cacat bank aplikasi;0;1
1316;tlong tidak kenapa donk aktivasi;3;1
1317;terus mau error buka;3;1
1318;udah top kalo bintang;3;3
1319;transfer tidak bank apknya;3;1
1320;yang voucher tuju transfer terus suruh siap servernya sampe saldo rek pulsa potong nunggu ngurus mobile mau masa mana langsung kalo kali kalau jangan jadi gak enak duit dong bsb bolak beli banking bank balik baik aplikasi apa;3;1
1321;sangat bantu;1;5
1322;aplikasi;0;1
1323;banking;3;1
1324;dulu coba;3;4
1325;yaa uang tolol tidak sumsel sering qris potong padahal niat mulu mbangking lama kerja ini eror butuh bikin bank banget;3;1
1326;transfer tidak tarik sering semua masalah lambat kembang hasil guna fast bi bank atm;3;2
1327;ubah transaksi sulit saldo potong pake mudah minggu mending mbanking masuk malah makan lapor jangan gak bukan appnya;3;1
1328;tambah pln mohon lengkap lebih buat biar bayar aplikasi;0;5
1329;tidak terlalu tapi sering pa mobile masak manfaat luar libur kurang kerja jam jadi hari guna error bankingnya banking ak;3;1
1330;terimakasih servernya sering org ngga mudah kurang kak guna eror depan buka bsb baik apps ak;3;5
1331;uang transfer tampil sama pernah minggu makasih kirim keren kemaren jumlah hilang guna gopay gak gagal eh dengan cukup buat bingung bikin berapa beberapa banyak banget balik alhamdulillah;3;4
1332;ulang transfer terus padahal mau mana malah lama kok gagal cuman buka banget apknya;3;1
1333;topup sya sumsel sekarang sampe qris pake nih mau masuk malah liat jelas gimana gak gabisa dana buka bank;3;1
1334;uang tranfer tpi tetap solusi semua sangat saldo masuk liat kurang gua gagal dana buruk bukti blm bagaimana aplikasi;3;1
1335;yang walaupun urus transaksi tidak tiba tiap tanggung sering sekian saldo salah repot potong pemberitahuan nyata nominal lengkap laku kalian kali kalau jawab isi ingat guna force eror enak duit dikit close cek blokir besar beres bener bank aplikasi aja;3;1
1336;tuh tinggal tarik tampil sekali sangat sama respon menu login lambat jelek cara buka bank bagus aplikasi;1;1
1337;bagus;1;5
1338;terus temu sampah mau data aplikasi aktivasi;0;1
1339;tiba sumsel saldo ribu potong kena bikin babel atm;3;1
1340;tidak tapi sudah si paling mudah keluh error banyak baik;3;1
1341;uang transaksi payah masuk keluar aplikasi;0;1
1342;tahu pesan ingat error;3;1
1343;yang uda tingkat terang saldo pa mau kata jd eror dong deteksi cek bankingnya bank ayo aktivitas;3;1
1344;aktivasi;3;1
1345;user;3;5
1346;mantap;1;5
1347;suka eror;3;1
1348;untuk transfer transaksi tidak terus terlalu sumsel sistem sangat sama ribet rb potong mudah moga lebih lbh laku lain lagi guna dpt biaya besar benar bank baik babel aplikasi;3;1
1349;yang ulang tinggal suruh sudah sekali sangat sandi salah perlu muas msh malah jelas id eh dengan bni blokir blm bilang beda bca baik aneh aktifasi;3;1
1350;waktu transfer terus saldo potong penting memang lama kan kali gagal dong;3;3
1351;sangat puas;1;5
1352;lelet aplikasi;0;1
1353;sumsel bank babel;3;5
